,Parent_id,Entered on,Exited on,Time spent
0,AOS-4360,2023-10-16T01:12:35Z,2023-10-16T02:58:50Z,6375
1,AOS-4362,2023-10-16T04:47:08Z,2023-10-16T04:48:12Z,64
2,AOS-4363,2023-10-16T05:15:22Z,2023-10-16T05:16:13Z,51
3,AOS-4365,2023-10-16T05:21:29Z,2023-10-16T05:24:09Z,160
4,AOS-4366,2023-10-16T05:52:35Z,2023-10-16T05:53:21Z,45
5,AOS-4367,2023-10-16T06:45:26Z,2023-10-16T06:47:05Z,99
6,AOS-4368,2023-10-16T07:19:46Z,2023-10-16T07:20:55Z,68
7,AOS-4369,2023-10-16T07:26:12Z,2023-10-16T07:26:46Z,34
8,AOS-4370,2023-10-16T07:27:17Z,2023-10-16T07:27:56Z,39
9,AOS-4371,2023-10-16T08:53:34Z,2023-10-16T09:00:51Z,436
10,AOS-4372,2023-10-16T09:27:37Z,2023-10-16T10:19:25Z,3108
11,AOS-4373,2023-10-16T12:11:02Z,2023-10-16T12:11:20Z,18
12,AOS-4374,2023-10-16T12:12:59Z,2023-10-16T12:13:16Z,17
13,AOS-4375,2023-10-16T12:42:13Z,2023-10-16T12:46:38Z,264
14,AOS-4376,2023-10-16T13:46:26Z,2023-10-16T13:46:57Z,31
15,AOS-4377,2023-10-16T17:18:59Z,2023-10-16T17:45:43Z,1603
16,AOS-4378,2023-10-17T00:49:03Z,2023-10-17T03:43:36Z,10472
17,AOS-4379,2023-10-17T05:08:04Z,2023-10-17T05:08:57Z,52
18,AOS-4380,2023-10-17T05:55:43Z,2023-10-17T05:56:56Z,72
19,AOS-4381,2023-10-17T06:25:38Z,2023-10-17T06:27:06Z,87
20,AOS-4382,2023-10-17T06:27:01Z,2023-10-17T06:35:34Z,513
21,AOS-4383,2023-10-17T06:27:31Z,2023-10-17T06:29:46Z,134
22,AOS-4384,2023-10-17T07:36:21Z,2023-10-17T07:37:09Z,47
23,AOS-4385,2023-10-17T09:38:39Z,2023-10-17T09:39:15Z,36
24,AOS-4386,2023-10-17T09:38:51Z,2023-10-17T09:57:31Z,1120
25,AOS-4387,2023-10-17T09:58:08Z,2023-10-17T09:58:43Z,34
26,AOS-4388,2023-10-17T10:08:06Z,2023-10-17T10:20:23Z,737
27,AOS-4389,2023-10-17T12:00:22Z,2023-10-17T12:09:36Z,554
28,AOS-4390,2023-10-17T13:06:06Z,2023-10-17T13:07:40Z,93
29,AOS-4391,2023-10-17T13:45:18Z,2023-10-17T14:02:30Z,1032
30,AOS-4392,2023-10-18T03:40:47Z,2023-10-18T04:07:47Z,1619
31,AOS-4393,2023-10-18T11:30:08Z,2023-10-18T11:31:46Z,98
32,AOS-4394,2023-10-19T08:19:31Z,2023-10-19T08:20:01Z,30
33,AOS-4395,2023-10-19T08:52:14Z,2023-10-19T08:52:54Z,40
34,AOS-4397,2023-10-19T09:37:00Z,2023-10-19T09:47:40Z,639
35,AOS-4398,2023-10-19T09:46:47Z,2023-10-19T09:47:04Z,17
36,AOS-4399,2023-10-19T10:33:42Z,2023-10-19T10:34:18Z,35
37,AOS-4400,2023-10-19T10:57:05Z,2023-10-19T11:27:14Z,1809
38,AOS-4401,2023-10-19T12:04:40Z,2023-10-19T13:01:02Z,3382
